Group,Number,Marure/Immature,"Color (M:black, brown/ IM: orange, yellow)"
1C,1,M,brown
,2,M,black
,3,IM,yellow
,4,M,brown
,5,IM,orange
,6,IM,orange
,7,IM,yellow
,8,IM,orange
,9,M,brown
,10,IM,yellow
,11,IM,yellow
,12,IM,yellow
,13,IM,orange
,14,M,brown
,15,IM,orange
1A,1,M,black
,2,IM,smashed /yellow
,3,M,black
,4,IM,orange
,5,M,black
,6,IM,smashed /yellow
,7,M,black
,8,M,black
,9,IM,orange
,10,M,brown
,11,IM,orange
,12,M,black
,13,M,black
,14,IM,orange
,15,M,black
1B,1,M,brown
,2,IM,yellow
,3,M,brown
,4,IM,yellow
,5,M,brown
,6,IM,yellow
,7,M,black
,8,IM,yellow
,9,M,black
,10,IM,yellow
,11,IM,orange
,12,M,brown
,13,IM,yellow
,14,IM,yellow
,15,IM,orange
2C,1,IM,yellow
,2,M,brown
,3,M,black
,4,IM,yellow
,5,M,black
,6,IM,yellow
,7,M,brown
,8,IM,yellow
,9,M,black
,10,IM,orange
,11,M,brown
,12,M,black
,13,M,black
,14,IM,smashed /yellow
,15,M,black
2B,1,M,black
,2,IM,yellow
,3,M,brown
,4,IM,yellow
,5,M,brown
,6,IM,yellow
,7,M,brown
,8,IM,yellow
,9,M,brown
,10,IM,orange
,11,IM,yellow
,12,IM,yellow
,13,IM,yellow
,14,M,black
,15,IM,yellow
2A,1,M,brown
,2,M,brown
,3,M,brown
,4,IM,yellow
,5,M,brown
,6,IM,orange
,7,M,black
,8,M,brown
,9,M,brown
,10,IM,orange
,11,M,black
,12,M,brown
,13,IM,yellow
,14,M,black
,15,M,black
3A,1,IM,yellow
,2,M,black
,3,IM,yellow
,4,M,black
,5,IM,yellow
,6,M,black
,7,IM,yellow
,8,IM,yellow
,9,M,brown
,10,IM,yellow
,11,IM,yellow
,12,M,brown
,13,M,black
,14,M,brown
,15,M,black
3B,1,IM,smashed /yellow
,2,M,brown
,3,IM,yellow
,4,M,brown
,5,M,brown
,6,IM,yellow
,7,M,black
,8,IM,smashed /yellow
,9,IM,smashed /yellow
,10,M,black
,11,IM,yellow
,12,IM,yellow
,13,IM,yellow
,14,M,black
,15,M,black
3C,1,M,black
,2,M,brown
,3,IM,yellow
,4,M,black
,5,IM,yellow
,6,M,black
,7,M,brown
,8,IM,orange
,9,M,black
,10,IM,orange
,11,M,brown
,12,IM,yellow
,13,IM,yellow
,14,M,brown
,15,IM,yellow
4B,1,M,black
,2,IM,yellow
,3,M,brown
,4,IM,yellow
,5,M,brown
,6,IM,yellow
,7,IM,yellow
,8,IM,yellow
,9,M,brown
,10,M,brown
,11,IM,orange
,12,M,black
,13,M,brown
,14,IM,yellow
,15,M,brown
4A,1,M,brown
,2,IM,yellow
,3,IM,orange
,4,M,brown
,5,IM,smashed /yellow
,6,M,black
,7,IM,orange
,8,M,black
,9,M,brown
,10,IM,orange
,11,M,brown
,12,M,brown
,13,M,brown
,14,M,brown
,15,M,black
4C,1,IM,orange
,2,IM,yellow
,3,M,brown
,4,IM,orange
,5,M,black
,6,M,brown
,7,IM,yellow
,8,M,brown
,9,M,brown
,10,M,brown
,11,M,black
,12,M,brown
,13,IM,yellow
,14,M,black
,15,IM,yellow
5C,1,IM,orange
,2,IM,yellow
,3,M,black
,4,M,black
,5,IM,orange
,6,M,black
,7,M,black
,8,IM,yellow
,9,M,black
,10,M,brown
,11,IM,yellow
,12,M,brown
,13,IM,yellow
,14,M,brown
,15,IM,yellow
5A,1,IM,yellow
,2,IM,orange
,3,M,brown
,4,M,black
,5,M,black
,6,IM,orange
,7,IM,yellow
,8,M,black
,9,IM,yellow
,10,IM,yellow
,11,M,brown
,12,M,brown
,13,M,brown
,14,IM,yellow
,15,M,black
5B,1,IM,orange
,2,M,brown
,3,IM,orange
,4,M,brown
,5,M,black
,6,IM,orange
,7,M,black
,8,M,brown
,9,M,brown
,10,M,brown
,11,IM,orange
,12,M,brown
,13,IM,orange
,14,M,black
,15,M,brown
